Time (s),CO2 (ppm),VOC (ppb),NOx (ppb),Temperature (oC),Humidity (%RH)
5.31,729.0,33598,47271,21.52,48.4
10.86,720.0,33558,47267,21.55,48.36
16.43,710.0,33546,47264,21.57,48.57
21.99,693.0,33512,47278,21.58,48.3
27.54,684.0,33489,47267,21.62,48.63
33.09,678.0,33467,47269,21.64,48.16
38.64,679.0,33432,47263,21.68,48.02
44.19,676.0,33428,47270,21.68,48.96
49.76,676.0,33507,47277,21.71,51.12
55.31,677.0,33442,47275,21.74,49.35
60.86,678.0,34427,47297,23.6,92.58
66.41,1164.0,33999,47303,22.63,85.62
71.98,1454.0,33683,47305,21.81,66.39
77.53,1579.0,33519,47294,21.88,53.87
83.09,1605.0,33447,47297,21.98,50.94
88.65,1595.0,33476,47295,22.04,53.46
94.2,1576.0,33449,47291,22.12,53.29
